Adresse;Stimmart;Bezirksnummer;Bezirksname;Wahlbezirk;Wahlbezirksart;Briefwahlbezirk;Abgeordnetenhauswahlkreis;Bundestagswahlkreis;OstWest;Wahlberechtigte insgesamt;Wahlberechtigte A1;Wahlberechtigte A2;Wahlberechtigte A3;Wählende;Wählende B1;Gültige Stimmen;Ungültige Stimmen;CDU;DIE LINKE;SPD;GRÜNE;AfD;FDP;Die PARTEI;Tierschutzpartei;PIRATEN;Die Grauen;FREIE WÄHLER;Gesundheitsforschung;ÖDP;du.;V-Partei;DKP;MLPD;BSo;SGP;LKR;NPD;Die Humanisten;Team Todenhöfer;Volt;dieBasis;B*;sonstige;BÜNDNIS21;EB: Direkt – bürgerschaftlich – unabhängig ;EB: erneuerung-klima.de;EB: Grundeinkommen-für-alle.org;Menschliche Welt - MENSCHLICHE WELT -;EB: Mieterinitiativen;EB: Parteifrei in den Bundestag;EB: Parteifrei, unabhängig und transparent. Für eine direktere Demokratie ohne Fraktionszwang und eine Amtszeitbeschränkung.;EB: www.weltrettung-durch-therapie.de;EB;EB: Zeit zählt!;aufn
01B1A;Erststimme;01;Mitte;1A;B;011A;1;75;W;0;0;0;0;1093;1093;1089;4;214;58;205;380;32;127;21;12;8;0;0;0;2;0;0;0;0;0;0;1;0;3;0;16;10;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B1B;Erststimme;01;Mitte;1B;B;011B;1;75;O;0;0;0;0;1138;1138;1133;5;231;64;242;359;38;116;19;18;4;0;0;0;0;0;0;0;1;0;0;0;0;3;0;21;17;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B1C;Erststimme;01;Mitte;1C;B;011C;1;75;O;0;0;0;0;1262;1262;1254;8;227;93;217;457;17;162;18;20;5;0;0;0;3;0;0;0;2;0;0;1;0;0;0;17;13;0;0;0;0;0;0;0;0;0;0;0;2;0;
01B1D;Erststimme;01;Mitte;1D;B;011D;1;75;O;0;0;0;0;1053;1053;1043;10;191;84;208;383;21;86;13;13;2;0;0;0;1;0;0;0;0;0;0;2;0;2;0;25;10;0;0;0;0;0;0;0;0;0;0;0;2;0;
01B1E;Erststimme;01;Mitte;1E;B;011E;1;75;O;0;0;0;0;1238;1238;1226;12;303;103;226;356;44;135;11;5;1;0;0;0;1;0;0;0;0;0;0;0;0;5;0;19;17;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B1F;Erststimme;01;Mitte;1F;B;011F;1;75;O;0;0;0;0;978;978;973;5;177;104;147;376;15;76;25;12;1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;25;12;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B1G;Erststimme;01;Mitte;1G;B;011G;1;75;W;0;0;0;0;901;901;898;3;160;72;230;282;27;62;10;18;5;0;0;0;4;0;0;0;0;0;0;0;0;2;0;23;3;0;0;0;0;0;0;0;0;0;0;0;0;0;
01B1H;Erststimme;01;Mitte;1H;B;011H;1;75;O;0;0;0;0;1066;1066;1063;3;159;108;176;444;17;76;18;9;2;0;0;0;2;0;0;0;2;0;0;3;0;4;0;28;14;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B1I;Erststimme;01;Mitte;1I;B;011I;1;75;O;0;0;0;0;1207;1207;1204;3;190;105;200;521;24;92;20;9;4;0;0;0;0;0;0;0;1;0;0;0;0;2;0;19;16;0;0;0;0;0;0;0;0;0;0;1;0;0;
01B1J;Erststimme;01;Mitte;1J;B;011J;1;75;O;0;0;0;0;602;602;600;2;115;64;102;197;26;49;12;4;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;16;9;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B1K;Erststimme;01;Mitte;1K;B;011K;1;75;O;0;0;0;0;980;980;977;3;137;93;168;419;23;61;23;3;5;0;0;0;3;0;0;0;1;0;0;2;0;2;0;18;18;0;0;0;0;0;0;0;0;0;0;0;1;0;
01B1L;Erststimme;01;Mitte;1L;B;011L;1;75;O;0;0;0;0;928;928;922;6;116;98;144;422;29;57;11;8;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;18;13;0;0;0;0;0;0;0;0;0;0;1;1;0;
01B1M;Erststimme;01;Mitte;1M;B;011M;1;75;O;0;0;0;0;936;936;932;4;151;86;150;371;12;96;14;3;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;32;9;0;0;0;0;0;0;0;0;0;0;0;3;0;
